date,ticker,action,shares,price,notional,cost
2019-04-22,SLB,SELL,30,37.88492202758789,1136.5476608276367,0.0
2019-04-23,ENPH,SELL,4,9.75,39.0,0.0
2019-04-23,TSLA,SELL,67,17.593332290649414,1178.7532634735107,0.0
2019-04-23,DE,BUY,7,151.99069213867188,1063.9348449707031,0.0
2019-04-24,DE,SELL,7,149.77101135253906,1048.3970794677734,0.0
2019-04-24,SLB,BUY,33,36.55461883544922,1206.3024215698242,0.0
2019-04-25,TSLA,BUY,72,16.5086669921875,1188.6240234375,0.0
2019-04-25,MMM,BUY,9,124.00067138671875,1116.0060424804688,0.0
2019-04-25,POET,SELL,10,2.5999999046325684,25.999999046325684,0.0
2019-04-25,ON,SELL,52,22.40999984741211,1165.3199920654297,0.0
2019-04-25,SLB,SELL,33,35.77791213989258,1180.671100616455,0.0
2019-04-26,ENPH,SELL,8,10.430000305175781,83.44000244140625,0.0
2019-04-26,MMM,SELL,9,124.61834716796875,1121.5651245117188,0.0
2019-04-26,INTC,BUY,26,45.40838623046875,1180.6180419921875,0.0
2019-04-26,TSLA,BUY,4,15.675999641418457,62.70399856567383,0.0
2019-04-29,ENPH,BUY,3,10.210000038146973,30.630000114440918,0.0
2019-04-29,AVGO,BUY,46,26.08566665649414,1199.9406661987305,0.0
2019-04-29,INTC,BUY,1,44.265167236328125,44.265167236328125,0.0
2019-04-29,POET,SELL,15,2.700000047683716,40.50000071525574,0.0
2019-04-29,TSLA,SELL,76,16.097999572753906,1223.4479675292969,0.0
2019-04-30,AVGO,SELL,2,26.55946159362793,53.11892318725586,0.0
2019-04-30,ENPH,SELL,117,10.039999961853027,1174.6799955368042,0.0
2019-04-30,INTC,SELL,27,44.20454025268555,1193.5225868225098,0.0
2019-04-30,GOOGL,BUY,20,59.45659255981445,1189.131851196289,0.0
2019-04-30,MMM,BUY,9,123.21394348144531,1108.9254913330078,0.0
2019-04-30,PLUG,BUY,11,2.490000009536743,27.390000104904175,0.0
2019-04-30,POET,BUY,12,2.5999999046325684,31.19999885559082,0.0
2019-05-01,TSLA,BUY,75,15.600666999816895,1170.050024986267,0.0
2019-05-01,ENPH,BUY,91,12.979999542236328,1181.1799583435059,0.0
2019-05-01,GOOGL,SELL,20,58.18510437011719,1163.7020874023438,0.0
2019-05-01,AVGO,SELL,44,26.601171493530273,1170.451545715332,0.0
2019-05-02,MMM,SELL,9,120.11915588378906,1081.0724029541016,0.0
